City,District,Price,Brand,Series,Model,Year,Fuel,Tranmission,Km,Chasis,Power,Engine,Drive,Color,From
İstanbul,Bakırköy,932580,Porsche,911,Carrera 4S,2013,Benzin,Otomatik,34000,Coupe,376,3501,4WD,Füme,Dealer
İstanbul,Bakırköy,898920,Porsche,911,Carrera 4S,2013,Benzin,Otomatik,34000,Coupe,376,3501,4WD,Füme,Dealer
İstanbul,Bakırköy,861040,Porsche,911,Carrera 4S,2013,Benzin,Otomatik,34000,Coupe,376,3501,4WD,Füme,Dealer
İstanbul,Beşiktaş,1190800,Mercedes - Benz,S,S 350 BlueTEC 4Matic 7G-Tronic,2017,Dizel,Otomatik,0,Sedan,251,2501,4WD,Siyah,Dealer
Bursa,Osmangazi,68000,Ford,Fiesta,1.5 TDCi Titanium,2015,Dizel,Manuel,9700,Hatchback 5 kapı,75,1498,Forward,Gri,Owner
Diyarbakır,Kayapınar,71500,Ford,Focus,1.6 Ti-VCT Style,2016,Benzin & LPG,Manuel,48000,Sedan,125,1596,Forward,Beyaz,Dealer
Malatya,Yeşilyurt,21500,Peugeot,206,1.4 X-Design,2006,Benzin & LPG,Manuel,171000,Hatchback 5 kapı,75,1360,Forward,Beyaz,Dealer
İstanbul,Sultanbeyli,47500,Seat,Leon,1.6 TDI CR Style,2011,Dizel,Manuel,195000,Hatchback 5 kapı,105,1598,Forward,Beyaz,Dealer
İstanbul,Sultanbeyli,48500,Seat,Leon,1.6 TDI CR Style,2011,Dizel,Manuel,195000,Hatchback 5 kapı,105,1598,Forward,Beyaz,Dealer
Konya,Selçuklu,144900,Skoda,Superb,1.4 TSI Prestige,2016,Benzin,Yarı Otomatik,5530,Hatchback 5 kapı,150,1395,Forward,Beyaz,Dealer
Konya,Selçuklu,144900,Skoda,Superb,1.4 TSI Prestige,2016,Benzin,Yarı Otomatik,5530,Hatchback 5 kapı,150,1395,Forward,Beyaz,Dealer
Konya,Selçuklu,144900,Skoda,Superb,1.4 TSI Prestige,2016,Benzin,Yarı Otomatik,5530,Hatchback 5 kapı,150,1395,Forward,Beyaz,Dealer
Samsun,Terme,105000,Audi,A3,A3 Sedan 1.6 TDI Attraction,2013,Dizel,Yarı Otomatik,91000,Sedan,101,1401,Forward,Siyah,Owner
Antalya,Muratpaşa,42000,Kia,Cerato,1.6 Koup,2011,Benzin,Manuel,151000,Coupe,126,1401,Forward,Kırmızı,Owner
Antalya,Muratpaşa,41750,Kia,Cerato,1.6 Koup,2011,Benzin,Manuel,151000,Coupe,126,1401,Forward,Kırmızı,Owner
İstanbul,Kartal,92250,Volkswagen,VW CC 1.4 TSi,1.4,2013,Benzin,Yarı Otomatik,49000,Coupe,151,1201,Forward,Gri,Owner
Gaziantep,Nizip,23000,Opel,Corsa,1.3 CDTI Essentia,2005,Dizel,Manuel,285000,Hatchback 5 kapı,70,1248,Forward,Beyaz,Dealer
Samsun,Vezirköprü,52000,Opel,Astra,1.4 T Cosmo,2011,Benzin,Otomatik,198000,Hatchback 5 kapı,140,1364,Forward,Siyah,Dealer
Samsun,Vezirköprü,55000,Opel,Astra,1.4 T Cosmo,2011,Benzin,Otomatik,198000,Hatchback 5 kapı,140,1364,Forward,Siyah,Dealer
Diyarbakır,Bağlar,40500,Ford,Mondeo,1.6 Titanium,2008,Benzin & LPG,Manuel,200000,Sedan,101,1401,Forward,Siyah,Owner
Mersin,Tarsus,37500,Renault,Megane,1.5 dCi Expression,2008,Dizel,Manuel,174000,Sedan,100,1461,Forward,Gümüş Gri,Owner
Şanlıurfa,Haliliye,70500,Volkswagen,Golf,1.6 TDi BlueMotion Comfortline,2013,Dizel,Manuel,110000,Hatchback 5 kapı,101,1401,Forward,Beyaz,Owner
Ankara,Çankaya,250900,Ford,Mustang,4.6 GT,2006,Benzin,Otomatik,70000,Coupe,300,4606,Back,Siyah,Dealer
Malatya,Yeşilyurt,143000,BMW,5 Serisi,520i Comfort,2014,Benzin,Otomatik,90000,Sedan,151,1401,Back,Siyah,Dealer
Kahramanmaraş,Dulkadiroğlu,245000,Chevrolet,Corvette,C6,2006,Benzin,Yarı Otomatik,59000,Coupe,401,5501,Back,Siyah,Dealer
Kahramanmaraş,Dulkadiroğlu,238000,Chevrolet,Corvette,C6,2006,Benzin,Yarı Otomatik,59000,Coupe,401,5501,Back,Siyah,Dealer
İstanbul,Üsküdar,12545,BMW,3 Serisi,320i,2000,Benzin,Manuel,270000,Sedan,151,1801,Back,Siyah,Owner
Ankara,Etimesgut,98750,Toyota,Avensis 1.6 D-4D,Premium,2015,Dizel,Manuel,27000,Sedan,112,1598,Forward,Beyaz,Dealer
Ankara,Etimesgut,98750,Toyota,Avensis 1.6 D-4D,Premium,2015,Dizel,Manuel,27000,Sedan,112,1598,Forward,Beyaz,Dealer
İstanbul,Tuzla,149500,Mercedes - Benz,CLA,200 AMG,2016,Benzin,Yarı Otomatik,24500,Coupe,156,1595,Forward,Beyaz,Owner
İstanbul,Sarıyer,32900,Peugeot,207,1.4 VTi Trendy,2009,Benzin,Yarı Otomatik,68983,Hatchback 5 kapı,76,1201,Forward,Siyah,Dealer
İstanbul,Pendik,37500,Audi,A6,A6 Sedan 1.8 T 1.8 T,1998,Benzin & LPG,Otomatik,188000,Sedan,101,1601,Forward,Siyah,Owner
Antalya,Muratpaşa,149500,Mercedes - Benz,CLA,180 d AMG,2015,Dizel,Yarı Otomatik,94500,Coupe,101,1401,Forward,Kırmızı,Owner
İzmir,Bayraklı,74000,Opel,Astra,1.4 T Sport,2015,Benzin,Otomatik,31000,Sedan,140,1364,Forward,Mavi,Owner
Isparta,Merkez,58000,Ford,Focus,1.6 TDCi Titanium,2012,Dizel,Manuel,172000,Sedan,115,1560,Forward,Füme,Owner
İzmir,Bornova,36000,Chrysler,300 M,3.5,2003,Benzin,Yarı Otomatik,189000,Sedan,252,3518,Forward,Gümüş Gri,Owner
İstanbul,Maltepe,31500,Honda,City,1.4 Sport,2006,Benzin & LPG,Manuel,115000,Sedan,76,1201,Forward,Füme,Owner
Aydın,Didim,7000,Tofaş,Kartal,S,1999,Benzin & LPG,Manuel,163541,Station Wagon,83,1581,Back,Lacivert,Dealer
İstanbul,Beşiktaş,3056790,Ferrari,488,GTB,2016,Benzin,Otomatik,0,Coupe,601,3501,Back,Gri,Dealer
Kayseri,Kocasinan,49500,BMW,3 Serisi,318i Standart,2004,Benzin,Yarı Otomatik,143000,Sedan,126,1801,Back,Lacivert,Owner
Çanakkale,Ayvacık,67800,Volkswagen,Jetta,1.4 TSi Highline,2012,Benzin & LPG,Manuel,63000,Sedan,122,1390,Forward,Gümüş Gri,Owner
Trabzon,Ortahisar,148500,Audi,A6,A6 Sedan 2.0 TDI,2012,Dizel,Yarı Otomatik,175500,Sedan,177,1968,Forward,Lacivert,Owner
Bursa,Nilüfer,87000,Volvo,S60,1.6 D Premium,2013,Dizel,Yarı Otomatik,42222,Sedan,101,1401,Forward,Gri,Owner
Muğla,Dalaman,117000,BMW,1 Serisi,116d Joy,2015,Dizel,Yarı Otomatik,100000,Hatchback 5 kapı,116,1496,Back,Beyaz,Owner
Ankara,Mamak,47500,Toyota,Corolla,1.4 D-4D Comfort,2012,Dizel,Manuel,145000,Sedan,76,1201,Forward,Gümüş Gri,Dealer
İzmir,Selçuk,165000,Audi,A5,A5 Sportback 2.0 TDI,2012,Dizel,Yarı Otomatik,173500,Hatchback 5 kapı,177,1968,Forward,Beyaz,Owner
Aydın,Efeler,150000,Peugeot,508,2.0 HDi Allure,2015,Dizel,Yarı Otomatik,46500,Sedan,151,1801,Forward,Siyah,Dealer
Aydın,Efeler,150000,Peugeot,508,2.0 HDi Allure,2015,Dizel,Yarı Otomatik,46500,Sedan,151,1801,Forward,Siyah,Dealer
İstanbul,Maltepe,52500,Mercedes - Benz,B,B 150 Special Edition,2006,Benzin,Yarı Otomatik,62000,Hatchback 5 kapı,95,1498,Forward,Mavi,Owner
Konya,Karatay,22500,Rover,25,1.6 Club,2000,Benzin & LPG,Manuel,155000,Hatchback 5 kapı,109,1588,Forward,Gümüş Gri,Owner
İstanbul,Sultanbeyli,153000,Skoda,Superb,1.6 TDI Prestige,2016,Dizel,Otomatik,20000,Sedan,101,1401,Forward,Füme,Owner
İzmir,Ödemiş,17500,Ford,Taurus,3.0 V6 GL,1996,Benzin & LPG,Otomatik,195000,Sedan,141,2931,Forward,Beyaz,Owner
İstanbul,Bahçelievler,92750,Volvo,S80,2.0 D Advance,2012,Dizel,Yarı Otomatik,245000,Sedan,163,1984,Forward,Siyah,Owner
İstanbul,Bahçelievler,92750,Volvo,S80,2.0 D Advance,2012,Dizel,Yarı Otomatik,245000,Sedan,163,1984,Forward,Siyah,Owner
Sakarya,Arifiye,129000,Audi,A5,A5 Sportback 2.0 TDI,2011,Dizel,Yarı Otomatik,172000,Hatchback 5 kapı,176,1801,Forward,Beyaz,Owner
İstanbul,Maltepe,36000,Smart,Fortwo,0.8 CDi Pure,2008,Dizel,Yarı Otomatik,137000,Coupe,45,799,Back,Gümüş Gri,Dealer
Ankara,Çankaya,51500,Renault,Fluence,1.5 dCi Joy,2013,Dizel,Yarı Otomatik,129400,Sedan,101,1401,Forward,Siyah,Dealer
Adana,Seyhan,179999,Audi,A5,A5 Sportback 2.0 TDI,2012,Dizel,Yarı Otomatik,136720,Hatchback 5 kapı,177,1968,Forward,Beyaz,Dealer
Kocaeli,İzmit,125000,Jaguar,XF,3.0 D Premium Luxury,2010,Dizel,Otomatik,190000,Sedan,275,2720,Back,Beyaz,Dealer
Konya,Selçuklu,163000,Skoda,Superb,1.6 TDI Prestige,2016,Dizel,Yarı Otomatik,5000,Hatchback 5 kapı,120,1598,Forward,Bej,Dealer
Gaziantep,Şehitkamil,138000,Audi,A4,A4 Sedan 2.0 TDI,2014,Dizel,Yarı Otomatik,135000,Sedan,150,1968,Forward,Beyaz,Dealer
Giresun,Espiye,36500,Subaru,Impreza,1.5 AWD,2008,Benzin & LPG,Otomatik,127500,Hatchback 5 kapı,107,1498,4WD,Siyah,Dealer
Giresun,Espiye,36500,Subaru,Impreza,1.5 AWD,2008,Benzin & LPG,Otomatik,129329,Hatchback 5 kapı,107,1498,4WD,Siyah,Dealer
Eskişehir,Tepebaşı,425000,Audi,A7,2.0 TFSI,2016,Benzin,Yarı Otomatik,39000,Hatchback 5 kapı,252,1984,4WD,Gri,Dealer
Kayseri,Melikgazi,23000,Volkswagen,Polo,1.9 TDi Comfortline Classic,1999,Dizel,Manuel,181734,Sedan,90,1896,Forward,Lacivert,Dealer
Kahramanmaraş,Dulkadiroğlu,100000,BMW,5 Serisi,530d Standart,2006,Dizel,Yarı Otomatik,141000,Sedan,231,2993,Back,Siyah,Dealer
Kocaeli,İzmit,108500,Audi,A3,A3 Sportback 1.6 TDI Attraction,2015,Dizel,Yarı Otomatik,37100,Hatchback 5 kapı,105,1598,Forward,Beyaz,Owner
Çorum,Merkez,69000,Subaru,Impreza,2.0 WRX,2004,Benzin,Manuel,110000,Sedan,201,1801,4WD,Mavi,Owner
Çorum,Merkez,69000,Subaru,Impreza,2.0 WRX,2004,Benzin,Manuel,110000,Sedan,201,1801,4WD,Mavi,Owner
İzmir,Karşıyaka,25750,Skoda,Fabia,1.4 TDI Ambiente,2008,Dizel,Manuel,310000,Sedan,80,1422,Forward,Mavi,Dealer
İzmir,Karşıyaka,25750,Skoda,Fabia,1.4 TDI Ambiente,2008,Dizel,Manuel,310000,Sedan,80,1422,Forward,Mavi,Dealer
Batman,Merkez,25000,Alfa Romeo,147,1.6 TS Collezione,2005,Benzin & LPG,Manuel,225000,Hatchback 5 kapı,101,1401,Forward,Kırmızı,Owner
Kocaeli,Gebze,49900,Dacia,Sandero,1.5 dCi Stepway,2015,Dizel,Manuel,73000,Hatchback 5 kapı,90,1461,Forward,Gümüş Gri,Dealer
Kocaeli,Gebze,49900,Dacia,Sandero,1.5 dCi Stepway,2015,Dizel,Manuel,73000,Hatchback 5 kapı,90,1461,Forward,Gümüş Gri,Dealer
İstanbul,Maltepe,49500,Peugeot,208,1.2 VTi Active,2014,Benzin,Yarı Otomatik,23800,Hatchback 5 kapı,82,1199,Forward,Kırmızı,Owner
Şanlıurfa,Eyyübiye,66500,Toyota,Corolla,1.33 Life,2016,Benzin,Manuel,7000,Sedan,76,1200,Forward,Beyaz,Dealer
İstanbul,Pendik,89750,Audi,A3,A3 Sedan 1.6 TDI Ambiente,2013,Dizel,Yarı Otomatik,130000,Sedan,105,1598,Forward,Gri,Owner
Kayseri,Kocasinan,24500,Renault,Megane,1.4 Authentique,2003,Benzin & LPG,Manuel,238000,Sedan,95,1390,Forward,Mavi,Dealer
Ankara,Çankaya,96000,Volkswagen,Jetta 1.2 TSi BlueMotion,Comfortline,2016,Benzin,Yarı Otomatik,20000,Sedan,105,1197,Forward,Mavi,Dealer
İstanbul,Kadıköy,135000,BMW,3 Serisi,320i ED Luxury Line,2014,Benzin,Yarı Otomatik,55000,Sedan,170,1598,Back,Siyah,Owner
İstanbul,Esenyurt,90000,Audi,A3,A3 Sportback 1.6 TDI Ambiente ,2014,Dizel,Yarı Otomatik,115000,Hatchback 5 kapı,105,1598,Forward,Siyah,Dealer
İstanbul,Sancaktepe,63000,Kia,Ceed,1.6 CRDi Concept SW,2013,Dizel,Otomatik,112000,Station Wagon,126,1401,Forward,Bordo,Owner
Gaziantep,Şehitkamil,202000,Mercedes - Benz,C,C 200 d BlueTEC AMG,2016,Dizel,Otomatik,33000,Sedan,126,1401,Back,Beyaz,Dealer
Şanlıurfa,Haliliye,61750,Volkswagen,Passat,1.4 TSi Comfortline,2010,Benzin,Yarı Otomatik,73000,Sedan,122,1390,Forward,Gümüş Gri,Dealer
Ankara,Çankaya,72000,Kia,Ceed,1.6 CRDi Premium,2013,Dizel,Otomatik,75000,Hatchback 5 kapı,126,1401,Forward,Gümüş Gri,Owner
Afyonkarahisar,Merkez,13500,Ford,Mondeo,2.0 GLX,1994,Benzin & LPG,Manuel,354000,Sedan,136,1988,Forward,Kırmızı,Dealer
İzmir,Bergama,145000,BMW,5 Serisi,520d Exclusive,2011,Dizel,Yarı Otomatik,218000,Sedan,184,1995,Back,Beyaz,Dealer
Konya,Karatay,26500,Peugeot,206 +,1.4 HDi Comfort,2010,Dizel,Manuel,225000,Hatchback 5 kapı,70,1398,Forward,Gümüş Gri,Dealer
Manisa,Akhisar,55000,Audi,A4,A4 Sedan 1.6,2008,Benzin,Manuel,207000,Sedan,102,1595,Forward,Siyah,Dealer
Aydın,Efeler,90000,Mercedes - Benz,C,C 180 Komp. BlueEfficiency Fascination,2010,Benzin & LPG,Yarı Otomatik,165000,Sedan,156,1597,Back,Siyah,Dealer
Bursa,İnegöl,84999,Opel,Astra,1.6 CDTI Sport,2015,Dizel,Manuel,29000,Sedan,126,1401,Forward,Siyah,Owner
Gaziantep,Şehitkamil,84999,Volkswagen,VW CC 1.4 TSi,1.4,2012,Benzin & LPG,Yarı Otomatik,110000,Coupe,160,1390,Forward,Beyaz,Dealer
Yozgat,Merkez,44000,Seat,Altea,1.4 TSI Style XL,2008,Benzin & LPG,Manuel,125000,Station Wagon,125,1390,Forward,Bordo,Owner
Yozgat,Merkez,44000,Seat,Altea,1.4 TSI Style XL,2008,Benzin & LPG,Manuel,125000,Station Wagon,125,1390,Forward,Bordo,Owner
Antalya,Muratpaşa,110500,Mercedes - Benz,C,C 180 Komp. BlueEfficiency AMG,2011,Benzin,Yarı Otomatik,50000,Sedan,151,1401,Back,Beyaz,Owner
Antalya,Muratpaşa,110500,Mercedes - Benz,C,C 180 Komp. BlueEfficiency AMG,2011,Benzin,Yarı Otomatik,50000,Sedan,151,1401,Back,Beyaz,Owner
İstanbul,Ümraniye,95000,Chevrolet,Camaro,SS,1998,Benzin,Otomatik,42000,Coupe,351,5501,Back,Siyah,Dealer
İstanbul,Ümraniye,95000,Chevrolet,Camaro,SS,1998,Benzin,Otomatik,42000,Coupe,351,5501,Back,Siyah,Dealer
İstanbul,Eyüp,56000,Ford,Focus,1.6 Ti-VCT Trend X,2014,Benzin,Yarı Otomatik,76000,Sedan,125,1596,Forward,Beyaz,Dealer
Konya,Selçuklu,124900,Audi,A8,3.0 TDI Quattro,2006,Dizel,Yarı Otomatik,290000,Sedan,233,2967,4WD,Siyah,Dealer
Konya,Selçuklu,124900,Audi,A8,3.0 TDI Quattro,2006,Dizel,Yarı Otomatik,290000,Sedan,233,2967,4WD,Siyah,Dealer
İstanbul,Beylikdüzü,508680,Porsche,Boxster,S,2012,Benzin,Yarı Otomatik,46000,Cabrio,316,3436,Back,Beyaz,Dealer
İstanbul,Büyükçekmece,71500,Hyundai,i30,1.6 CRDi Elite,2014,Dizel,Otomatik,56000,Hatchback 5 kapı,128,1582,Forward,Siyah,Dealer
Zonguldak,Ereğli,16250,Dacia,Solenza,1.4 Scala,2004,Benzin & LPG,Manuel,165000,Hatchback 5 kapı,75,1390,Forward,Kırmızı,Dealer
Zonguldak,Ereğli,16250,Dacia,Solenza,1.4 Scala,2004,Benzin & LPG,Manuel,165000,Hatchback 5 kapı,75,1390,Forward,Kırmızı,Dealer
Zonguldak,Ereğli,14750,Dacia,Solenza,1.4 Scala,2004,Benzin & LPG,Manuel,165000,Hatchback 5 kapı,75,1390,Forward,Kırmızı,Dealer
Zonguldak,Devrek,72000,Volkswagen,Jetta,1.6 TDi Comfortline,2012,Dizel,Manuel,135000,Sedan,105,1598,Forward,Siyah,Dealer
Gaziantep,Nurdağı,52000,Audi,A4,A4 Sedan 2.0 TDI,2005,Dizel,Yarı Otomatik,302000,Sedan,126,1801,Forward,Siyah,Owner
Gaziantep,Nurdağı,52000,Audi,A4,A4 Sedan 2.0 TDI,2005,Dizel,Yarı Otomatik,302000,Sedan,126,1801,Forward,Siyah,Owner
Ankara,Çankaya,139500,BMW,3 Serisi,320d Sport,2012,Dizel,Yarı Otomatik,149000,Sedan,184,1995,Back,Beyaz,Dealer
Bursa,Osmangazi,97000,Peugeot,508,1.6 e-HDi Allure,2014,Dizel,Yarı Otomatik,60000,Sedan,115,1560,Forward,Gri,Dealer
Bursa,Osmangazi,95000,Peugeot,508,1.6 e-HDi Allure,2014,Dizel,Yarı Otomatik,63000,Sedan,115,1560,Forward,Gri,Dealer
Balıkesir,Karesi,44500,Ford,Focus,1.6 TDCi Titanium,2009,Dizel,Manuel,158800,Hatchback 5 kapı,101,1401,Forward,Siyah,Dealer
Kocaeli,Gölcük,53500,Fiat,Egea,1.4 Fire Urban,2016,Benzin,Manuel,28500,Sedan,76,1201,Forward,Gri,Owner
Mersin,Yenişehir,315000,Mercedes - Benz,E,E 200 AMG,2016,Benzin,Yarı Otomatik,14000,Sedan,184,1991,Back,Füme,Dealer
Mersin,Yenişehir,315000,Mercedes - Benz,E,E 200 AMG,2016,Benzin,Yarı Otomatik,14000,Sedan,184,1991,Back,Füme,Dealer
Antalya,Alanya,185000,BMW,5 Serisi,520d Standart,2013,Dizel,Yarı Otomatik,98000,Sedan,184,1995,Back,Siyah,Dealer
İzmir,Buca,69500,Audi,A3,A3 Sportback 1.4 TFSI Attraction,2011,Benzin,Yarı Otomatik,105000,Hatchback 5 kapı,101,1201,Forward,Mavi,Owner
Konya,Selçuklu,28300,Opel,Astra,1.6 CDX,1999,Benzin & LPG,Otomatik,202000,Sedan,100,1598,Forward,Füme,Owner
İstanbul,Sancaktepe,60000,Skoda,Octavia,1.6 TDI Ambition,2012,Dizel,Yarı Otomatik,109000,Sedan,101,1401,Forward,Siyah,Owner
Balıkesir,Burhaniye,27500,Fiat,Albea,Sole 1.4 Fire Dynamic,2009,Benzin & LPG,Manuel,85000,Sedan,76,1201,Forward,Mavi,Owner
Balıkesir,Burhaniye,25800,Fiat,Albea,Sole 1.4 Fire Dynamic,2009,Benzin & LPG,Manuel,85000,Sedan,76,1201,Forward,Mavi,Owner
Düzce,Merkez,43500,Chevrolet,Aveo,1.3 D LTZ,2012,Dizel,Manuel,50000,Sedan,95,1248,Forward,Beyaz,Owner
Mersin,Mezitli,89000,Volvo,S60,2.0 D Advance,2011,Dizel,Yarı Otomatik,144000,Sedan,151,1801,Forward,Beyaz,Owner
Osmaniye,Merkez,33750,Dacia,Sandero,1.4 Ambiance,2011,Benzin,Manuel,94250,Hatchback 5 kapı,51,1201,Forward,Gümüş Gri,Dealer
Isparta,Merkez,39500,Honda,Jazz,1.4 Sport,2006,Benzin,Yarı Otomatik,132400,Station Wagon,76,1201,Forward,Kırmızı,Owner
İstanbul,Ümraniye,50000,Volvo,C70,2.0 T,2005,Benzin & LPG,Otomatik,155000,Cabrio,151,1801,Forward,Lacivert,Owner
İstanbul,Ümraniye,50000,Volvo,C70,2.0 T,2005,Benzin & LPG,Otomatik,155000,Cabrio,151,1801,Forward,Lacivert,Owner
Ankara,Çankaya,38500,Peugeot,407,2.0 HDi Comfort,2006,Dizel,Yarı Otomatik,206000,Sedan,136,1997,Forward,Siyah,Owner
Sakarya,Erenler,58000,Dacia,Sandero,1.5 dCi Stepway,2016,Dizel,Manuel,31850,Hatchback 5 kapı,90,1461,Forward,Mavi,Dealer
Kastamonu,İnebolu,18999,Opel,Vectra,2.0 CD,1997,Benzin & LPG,Manuel,261000,Sedan,126,1801,Forward,Lacivert,Owner
Kastamonu,İnebolu,18900,Opel,Vectra,2.0 CD,1997,Benzin & LPG,Manuel,261000,Sedan,126,1801,Forward,Lacivert,Owner
İstanbul,Fatih,9500,Kia,Pride,1.3 GLXi,2000,Benzin,Manuel,345000,Station Wagon,51,1201,Forward,Gümüş Gri,Owner
İstanbul,Avcılar,57500,Alfa Romeo,Giulietta,1.6 JTD Progression Plus,2011,Dizel,Manuel,105000,Hatchback 5 kapı,101,1401,Forward,Gümüş Gri,Dealer
Ankara,Keçiören,9800,Tofaş,Kartal,Kartal 5 Vites,1994,Benzin & LPG,Manuel,87000,Station Wagon,76,1401,Back,Beyaz,Dealer
Ankara,Yenimahalle,16500,Hyundai,Accent,1.5 1.5i GLS,1995,Benzin & LPG,Manuel,190000,Hatchback 5 kapı,92,1495,Forward,Beyaz,Owner
İstanbul,Sultanbeyli,14900,Renault,R 19,1.6 Europa RNE Alize,2000,Benzin & LPG,Manuel,236000,Hatchback 5 kapı,75,1721,Forward,Mavi,Dealer
Eskişehir,Tepebaşı,70000,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2012,Dizel,Yarı Otomatik,151000,Sedan,105,1598,Forward,Beyaz,Owner
Eskişehir,Tepebaşı,69750,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2012,Dizel,Yarı Otomatik,157000,Sedan,105,1598,Forward,Beyaz,Owner
İzmir,Gaziemir,43999,Honda,Civic,1.6 i-VTEC Dream,2007,Benzin & LPG,Otomatik,163000,Sedan,125,1595,Forward,Şampanya,Owner
Mardin,Artuklu,139000,BMW,3 Serisi,320i ED Modern Line,2014,Benzin,Otomatik,61000,Sedan,151,1401,Back,Bej,Owner
Ankara,Yenimahalle,64000,Ford,Focus,1.6 TDCi Titanium,2012,Dizel,Manuel,119000,Sedan,115,1560,Forward,Gümüş Gri,Owner
Gaziantep,Şehitkamil,20500,Nissan,Primera,1.6 Comfort,2000,Benzin & LPG,Manuel,311000,Sedan,100,1597,Forward,Siyah,Dealer
İstanbul,Kadıköy,22500,Peugeot,306,1.6 Platinum,2001,Benzin & LPG,Manuel,158120,Sedan,76,1401,Forward,Füme,Owner
İzmir,Konak,255000,BMW,4 Serisi,420d xDrive M Sport,2014,Dizel,Yarı Otomatik,19000,Coupe,184,1995,4WD,Füme,Dealer
İzmir,Konak,121500,BMW,3 Serisi,316i Technology,2014,Benzin,Yarı Otomatik,48000,Sedan,136,1598,Back,Beyaz,Dealer
Kahramanmaraş,Onikişubat,81500,Mercedes - Benz,C,C 180 Komp. BlueEfficiency Avantgarde,2011,Benzin & LPG,Yarı Otomatik,177000,Sedan,156,1597,Back,Siyah,Dealer
Mersin,Akdeniz,6950,Lada,Samara,1.5,1991,Benzin & LPG,Manuel,69000,Hatchback 5 kapı,68,1499,Forward,Kırmızı,Dealer
Bursa,Nilüfer,57000,Peugeot,208,1.2 VTi Allure,2015,Benzin,Yarı Otomatik,11500,Hatchback 5 kapı,76,1200,Forward,Beyaz,Owner
Antalya,Muratpaşa,55000,Fiat,Egea,1.4 Fire Urban,2016,Benzin,Manuel,17000,Sedan,95,1368,Forward,Kırmızı,Owner
İstanbul,Üsküdar,85750,Ford,Focus,1.6 TDCi Titanium,2015,Dizel,Manuel,12100,Sedan,115,1560,Forward,Beyaz,Owner
Mersin,Yenişehir,99000,Mini,Cooper S,1.6 Cabrio,2012,Benzin,Manuel,66000,Cabrio,184,1598,Forward,Bej,Owner
Ankara,Altındağ,73900,Audi,A6,A6 Sedan,2006,Benzin & LPG,Yarı Otomatik,285000,Sedan,177,2393,Forward,Siyah,Dealer
Ankara,Altındağ,73900,Audi,A6,A6 Sedan,2006,Benzin & LPG,Yarı Otomatik,285000,Sedan,177,2393,Forward,Siyah,Dealer
Konya,Meram,24500,Volkswagen,Polo,1.6 Classic,1997,Benzin & LPG,Manuel,107000,Sedan,76,1401,Forward,Beyaz,Owner
Sivas,Merkez,38750,Hyundai,Matrix,1.6 GLS,2006,Benzin & LPG,Otomatik,145000,Station Wagon,101,1401,Forward,Siyah,Owner
Yozgat,Boğazlıyan,31500,Mercedes - Benz,E,E 200 200,1995,Benzin & LPG,Manuel,453152,Sedan,136,1997,Back,Mor,Owner
Yozgat,Boğazlıyan,30500,Mercedes - Benz,E,E 200 200,1995,Benzin & LPG,Manuel,454000,Sedan,136,1997,Back,Mor,Owner
Gaziantep,Nizip,54750,Mercedes - Benz,E,E 200 Elegance,2000,Benzin & LPG,Yarı Otomatik,345000,Sedan,126,1801,Back,Lacivert,Dealer
Erzurum,Yakutiye,75000,Volkswagen,Jetta,1.4 TSi Trendline,2013,Benzin,Manuel,72000,Sedan,122,1390,Forward,Siyah,Dealer
Adıyaman,Merkez,51000,Opel,Insignia,1.6 T Edition,2009,Benzin & LPG,Manuel,138000,Sedan,180,1598,Forward,Gri,Dealer
Ankara,Çankaya,47500,Peugeot,308,1.6 e-HDi Active,2013,Dizel,Yarı Otomatik,95000,Hatchback 5 kapı,112,1560,Forward,Siyah,Owner
Manisa,Turgutlu,26000,Tofaş,Kartal,SL,1988,Benzin & LPG,Manuel,28000,Station Wagon,76,1401,Back,Bordo,Owner
Sakarya,Erenler,70750,BMW,5 Serisi,520d Premium,2007,Dizel,Yarı Otomatik,336000,Sedan,177,1995,Back,Lacivert,Dealer
Adana,Seyhan,19450,Toyota,Avensis,2.0 Sol,1998,Benzin & LPG,Manuel,304000,Sedan,126,1801,Forward,Mavi,Dealer
İstanbul,Kadıköy,364000,Porsche,Panamera,Panamera Diesel,2012,Dizel,Yarı Otomatik,117000,Hatchback 5 kapı,250,2967,Back,Beyaz,Dealer
İstanbul,Arnavutköy,135000,Audi,A4,A4 Sedan 2.0 TDI Quattro,2013,Dizel,Yarı Otomatik,145000,Sedan,177,1968,4WD,Beyaz,Owner
İzmir,Çiğli,34000,Nissan,Micra,1.2 Tekna,2011,Benzin,Manuel,60000,Hatchback 5 kapı,80,1198,Forward,Gri,Dealer
İstanbul,Kağıthane,89500,Mercedes - Benz,C,C 180 Komp. BlueEfficiency Fascination,2010,Benzin,Yarı Otomatik,60000,Sedan,151,1401,Back,Beyaz,Dealer
İstanbul,Esenyurt,36000,Seat,Leon,1.4 TSI Style,2009,Benzin,Manuel,128000,Hatchback 5 kapı,101,1201,Forward,Kırmızı,Owner
Bursa,Osmangazi,36000,Seat,Leon,1.4 TSI Style,2009,Benzin,Manuel,128000,Hatchback 5 kapı,101,1201,Forward,Kırmızı,Owner
